SQL Statement,Modified_Statement,Original,Error_Category
"SELECT  count(*) FROM  [826].[PmTE_ALL-DE.txt] DE --  ,  [826].[table_Psemu1FL_RT_spgp_gp_ok.txt] supergroup --WHERE  supergroup.Consensus = DE.name --    AND  logFC_Fe < 1 --    AND  logFC_P > 1 --    AND  logFC_Si > 1 --    AND  logFC_Urea > 1 --    AND  (PValue_Fe < 0.05 --         OR  PValue_P < 0.05 --         OR  PValue_Si < 0.05 --         OR  PValue_Urea < 0.05)","SELECT COUNT(*)
FROM [826].[PmTE_ALL-DE.txt] DE
WHERE DE.name = (SELECT Consensus FROM [826].[table_Psemu1FL_RT_spgp_gp_ok.txt]
                 WHERE PValue_Fe < 0.05);  ",YES,type-mismatch-nested
SELECT  * FROM  [826].[PmUreaSigDEonly05pvaluecutoff.txt] urea inner join [826].[table_PmSistarveSigDEonly05pvaluecutoff.txt] Si on urea.Urea_TranscriptID = Si.Si_TranscriptID where Si.Si_logFC > 1 and urea.Urea_logFC > 1,"SELECT  * 
FROM  [826].[PmUreaSigDEonly05pvaluecutoff.txt] urea 
INNER JOIN [826].[table_PmSistarveSigDEonly05pvaluecutoff.txt] Si 
ON urea.Urea_TranscriptID = Si.Si_TranscriptID
WHERE  x.Si_logFC > 1 
AND  y.Urea_logFC > 1;",YES,alias-undefined
"select s.ssgcidid,  s.uniprot,  ec.""EC Numbers"",  ec.""Database"" as ec_source,  s.anNOtation from [Unique_EC_mapped_to_UniProt] ec join [ssgcid_uniprot.csv] s on (s.uniprot = ec.accession)","SELECT s.ssgcidid, 
       s.uniprot, 
       ec.""EC Numbers"", 
       ec.""Database"" AS ec_source, 
       s.anNOtation 
FROM [Unique_EC_mapped_to_UniProt] ec 
JOIN [ssgcid_uniprot.csv] s 
  ON (s.uniprot = ec.accession)
HAVING COUNT(s.uniprot) > 1;",YES,aggr-having
SELECT  count(*) FROM  [1079].[view_depth_breadth_per_view.csv] where depth = 0,"SELECT COUNT(*) 
FROM [1079].[view_depth_breadth_per_view.csv] 
WHERE depth = 0
HAVING COUNT(depth) > 1;",YES,aggr-having
"select d.DtoA as bad_ones,  u.Container as SetNO,  u.Clone_name as uw_constructID,  u.nt_seq_uncleaved,  u.aa_seq_uncleaved from [table_DtoA_candidates.csv] d left join [table_qryUWExportConstructs.csv] u on (u.Clone_name = d.DtoA)","select d.DtoA as bad_ones,  u.Container as SetNO,  u.Clone_name as uw_constructID,  u.nt_seq_uncleaved,  u.aa_seq_uncleaved from [table_DtoA_candidates.csv] d left join [table_qryUWExportConstructs.csv] u on (u.Clone_name = d.DtoA)",NO,NO Error
"SELECT  InterproEntry,  InterproIdHits,  Interpro_desc_Ox FROM  [826].[PhatrInterproIdsHitCounts] JOIN  [826].[AllOxInterProIds.tab.txt] ON InterproId_Ox = InterproEntry order by InterproIdHits DESC","SELECT InterproEntry, 
       InterproIdHits, 
       Interpro_desc_Ox 
FROM [826].[PhatrInterproIdsHitCounts] 
JOIN [826].[AllOxInterProIds.tab.txt] 
  ON InterproId_Ox = InterproEntry 
ORDER BY InterproIdHits DESC
HAVING COUNT(InterproEntry) > 5;",YES,aggr-having
select * from tiny_sample,"SELECT *, COUNT(*)  
FROM tiny_sample;",YES,aggr-attribute
SELECT  COUNT(DISTINCT y) FROM  [354].[twitter_rv.6200000],SELECT COUNT(DISTINCT CAST('y' AS INT)) FROM [354].[twitter_rv.6200000];,YES,type-mismatch-condition
"WITH  SurfaceMetals AS (SELECT  Station, MIN([Depth..m.]) AS MinDepth FROM  [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] GROUP BY  Station) SELECT  iron.Station,  iron.Label,  iron.[Depth..m.],  SurfaceMetals.MinDepth FROM [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] iron ,  [446].[Iron-related_Proteins] protein ,  SurfaceMetals WHERE  iron.Station = protein.Station AND  SurfaceMetals.Station = iron.Station --AND  iron.[Depth..m.] = SurfaceMetals.MinDepth","WITH SurfaceMetals AS (
    SELECT Station, 
           MIN([Depth..m.]) AS MinDepth 
    FROM [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] 
    GROUP BY Station
)
SELECT iron.Station, 
       iron.Label, 
       iron.[Depth..m.], 
       SurfaceMetals.MinDepth 
FROM [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] iron, 
     [446].[Iron-related_Proteins] protein, 
     SurfaceMetals 
WHERE iron.Station = protein.Station 
  AND SurfaceMetals.Station = iron.Station
HAVING COUNT(iron.Station) > 1;  ",YES,aggr-having
"SELECT  NTILE(100) OVER(ORDER BY  clock asc) as progress ,  issues/ticks as issues_per_tick ,  memrefs/ticks as memrefs_per_tick ,  phantoms/ticks as phantoms_per_tick ,  streams/ticks as streams_per_tick FROM  ( SELECT  m1.source as source1,  m2.source as source2 ,  m1.clock as clock ,  (m2.clock - m1.clock) as ticks ,  (m2.issues - m1.issues)  as issues ,  (m2.memrefs - m1.memrefs)  as memrefs ,  (m2.phantoms - m1.phantoms)  as phantoms ,  (m2.streams - m1.streams)  as streams FROM  1314howe.measurement m1 ,  1314howe.measurement m2 WHERE  m2.clock > m1.clock AND  NOT EXISTS ( SELECT  clock FROM  1314howe.measurement m3 WHERE  m1.clock < m3.clock AND  m2.clock > m3.clock ) ) x ORDER BY  clock asc","SELECT  
    NTILE(100) OVER(ORDER BY y.clock asc) as progress, 
    issues/ticks as issues_per_tick, 
    memrefs/ticks as memrefs_per_tick, 
    phantoms/ticks as phantoms_per_tick, 
    streams/ticks as streams_per_tick 
FROM  
    (SELECT  
        m1.source as source1, 
        m2.source as source2, 
        m1.clock as clock, 
        (m2.clock - m1.clock) as ticks, 
        (m2.issues - m1.issues) as issues, 
        (m2.memrefs - m1.memrefs) as memrefs, 
        (m2.phantoms - m1.phantoms) as phantoms, 
        (m2.streams - m1.streams) as streams 
    FROM  
        1314howe.measurement m1, 
        1314howe.measurement m2 
    WHERE  
        m2.clock > m1.clock 
        AND NOT EXISTS 
            (SELECT clock FROM 1314howe.measurement m3 WHERE m1.clock < m3.clock AND m2.clock > m3.clock)
    ) x 
ORDER BY 
    z.clock asc;",YES,alias-undefined
"select * FROM  [1002].[Tokyo_0_optode.csv] o, [1002].[Tokyo_0_tsg.csv] t, [1002].[Tokyo_0_suna.csv] s WHERE  isnumeric(o.[long.dc]) = 1 AND  isnumeric(o.[lat.dc]) = 1 AND  isnumeric([X.NO3..uMol.L.]) = 1 AND  isnumeric([O2.Conc..uM.]) = 1 AND  o.date = t.date AND  o.date = s.date AND  t.date = s.date AND  o.time = t.time AND  o.time = s.time AND  t.time = s.time","SELECT * 
FROM [1002].[Tokyo_0_optode.csv] o, [1002].[Tokyo_0_tsg.csv] t, [1002].[Tokyo_0_suna.csv] s 
WHERE o.[long.dc] + 'text' = 1 
  AND o.[lat.dc] + 'text' = 1 
  AND [X.NO3..uMol.L.] + 'text' = 1 
  AND [O2.Conc..uM.] + 'text' = 1 
  AND o.date = t.date 
  AND o.date = s.date 
  AND t.date = s.date 
  AND o.time = t.time 
  AND o.time = s.time 
  AND t.time = s.time;",YES,type-mismatch-condition
"SELECT  dateadd(year,  i.n,  '1/1/2014') FROM  [1314howe].[thousand] i","SELECT  
    dateadd(year,  x.n,  '1/1/2014') 
FROM  
    [1314howe].[thousand] i;",YES,alias-undefined
SELECT  * FROM  1385_queries where is_public = 1,"SELECT *
FROM 1385_queries
WHERE is_public = (SELECT is_public FROM 1385_queries WHERE created_at > '2023-01-01');  ",YES,type-mismatch-nested
"select r.* ,  g.[Vessel label] ,  g.Address","SELECT r.*, 
       g.[Vessel label], 
       g.Address 
FROM r, g
HAVING COUNT(r.*) > 1; ",YES,aggr-having
Select * From [1123].[Gill_Done_2] Where Percent_Meth > 50 and Gil >10 and CG >10 and CDScount >3,"SELECT * 
FROM [1123].[Gill_Done_2]
WHERE Percent_Meth > '50%' -- Comparing numeric to string with percentage symbol
  AND Gil > 'ten'       
  AND CG > 'data'         
  AND CDScount > 3.5;      ",YES,type-mismatch-condition
"SELECT  [Saito_Id] ,  CASE WHEN [Identified Proteins] = '#NO Error' THEN NULL ELSE [Identified Proteins] END AS [Identified Proteins] ,  CASE WHEN [Accession] = '#NO Error' THEN NULL ELSE [Accession] END AS [Accession] ,  CASE WHEN [BLAST_NR ANNOTATION] = '#NO Error' THEN NULL ELSE [BLAST_NR ANNOTATION] END AS [BLAST_NR ANNOTATION] ,  CASE WHEN [BLAST NR OR GANISM] = '#NO Error' THEN NULL ELSE [BLAST NR OR GANISM] END AS [BLAST NR OR GANISM] ,  CASE WHEN [BLAST Microbial P col1] = '#NO Error' THEN NULL ELSE [BLAST Microbial P col1] END AS [BLAST Microbial P col1] ,  CASE WHEN [BLAST Microbial P col2] = '#NO Error' THEN NULL ELSE [BLAST Microbial P col2] END AS [BLAST Microbial P col2] ,  CASE WHEN CHARINDEX('kDa', [Molecular Weight]) = 0 THEN NULL ELSE SUBSTRING([Molecular Weight],  1,  CHARINDEX('kDa', [Molecular Weight])) END AS [Molecular Weight (kDa)] --  ,  CASE WHEN CHARINDEX('kDa', [Molecular Weight]) = 0 THEN NULL ELSE CAST(SUBSTRING([Molecular Weight],  1,  CHARINDEX('kDa', [Molecular Weight])) AS FLOAT) END AS [Molecular Weight (kDa)] ,  [(G13) S1-15m] ,  [(G14)-S1-40m] ,  [(G15)-S1-70m] ,  [(G10)-S4-45m] ,  [(G11)-S4-65m] ,  [(G2)-S8-33m] ,  [(G3)-S8-70m] ,  [(G6)-S6-15m] ,  [(G7)-S6-45m] FROM  [446].[table_Saito_GEOMICS1D_SubsurfaceProteins_withprelimcounts.csv]","SELECT  
    x.[Saito_Id],  
    CASE WHEN x.[Identified Proteins] = '#NO Error' THEN NULL ELSE x.[Identified Proteins] END AS [Identified Proteins],  
    CASE WHEN x.[Accession] = '#NO Error' THEN NULL ELSE x.[Accession] END AS [Accession],  
    CASE WHEN x.[BLAST_NR ANNOTATION] = '#NO Error' THEN NULL ELSE x.[BLAST_NR ANNOTATION] END AS [BLAST_NR ANNOTATION],  
    CASE WHEN x.[BLAST NR OR GANISM] = '#NO Error' THEN NULL ELSE x.[BLAST NR OR GANISM] END AS [BLAST NR OR GANISM],  
    CASE WHEN x.[BLAST Microbial P col1] = '#NO Error' THEN NULL ELSE x.[BLAST Microbial P col1] END AS [BLAST Microbial P col1],  
    CASE WHEN x.[BLAST Microbial P col2] = '#NO Error' THEN NULL ELSE x.[BLAST Microbial P col2] END AS [BLAST Microbial P col2],  
    CASE WHEN CHARINDEX('kDa', x.[Molecular Weight]) = 0 THEN NULL ELSE SUBSTRING(x.[Molecular Weight], 1, CHARINDEX('kDa', x.[Molecular Weight])) END AS [Molecular Weight (kDa)],  
    x.[(G13) S1-15m],  
    x.[(G14)-S1-40m],  
    x.[(G15)-S1-70m],  
    x.[(G10)-S4-45m],  
    x.[(G11)-S4-65m],  
    x.[(G2)-S8-33m],  
    x.[(G3)-S8-70m],  
    x.[(G6)-S6-15m],  
    x.[(G7)-S6-45m] 
FROM  
    [446].[table_Saito_GEOMICS1D_SubsurfaceProteins_withprelimcounts.csv] x
WHERE 
    y.[Saito_Id] = 'some_value';",YES,alias-undefined
SELECT  * FROM  [826].[deFe_BH.csv] where logFC > 0 and BH < 0.0001,"SELECT * 
FROM [826].[deFe_BH.csv] 
WHERE logFC > 0 
  AND BH < 0.0001
HAVING COUNT(logFC) > 1; ",YES,aggr-having
SELECT  * FROM  [412].[sig qvalues OA and lowMS.txt] LEFT JOIN  [table_TJGR_Gene_SPID_evalue_Description.txt] ON [412].[sig qvalues OA and lowMS.txt].protein=[table_TJGR_Gene_SPID_evalue_Description.txt].[CGI Protein],SELECT  * FROM  [412].[sig qvalues OA and lowMS.txt] LEFT JOIN  [table_TJGR_Gene_SPID_evalue_Description.txt] ON [412].[sig qvalues OA and lowMS.txt].protein=[table_TJGR_Gene_SPID_evalue_Description.txt].[CGI Protein],NO,NO Error
"SELECT CGI_ID, len(sequence)- len(REPLACE(sequence,  'C',  '')) as C, len(sequence)- len(REPLACE(sequence,  'G',  '')) as G, (len(sequence)- len(REPLACE(sequence,  'CG',  '')))/2 as CG, len(sequence)- len(REPLACE(sequence,  'CG',  ' ')) as CG,","SELECT CGI_ID,
       len(sequence) - len(REPLACE(sequence, 'C', '')) as C,
       len(sequence) - len(REPLACE(sequence, 'G', '')) as G,
       (SELECT COUNT(*) FROM aNOther_table WHERE condition >300) as CG 
FROM your_table_name;",YES,type-mismatch-nested
"SELECT  DISTINCT leftT.follower AS x,  rightT.followee AS z FROM  [1314howe].[twitter4M] leftT JOIN  [1314howe].[twitter4M] rightT ON leftT.followee=rightT.follower WHERE  leftT.follower=1000 ) joined","SELECT DISTINCT 
    leftT.follower AS x, 
    rightT.followee AS z, 
    COUNT(*)  -- Aggregate function without GROUP BY or proper aggregation context
FROM 
    [1314howe].[twitter4M] leftT 
JOIN 
    [1314howe].[twitter4M] rightT 
ON 
    leftT.followee = rightT.follower 
WHERE 
    leftT.follower = 1000;",YES,aggr-attribute
SELECT  COUNT(DISTINCT X) FROM (SELECT  y AS x FROM  [354].[twitter_rv.6200000] UNION SELECT  x FROM  [354].[twitter_rv.6200000] ) fsddfs,"SELECT COUNT(DISTINCT x) FROM (
    SELECT y AS x FROM [354].[twitter_rv.6200000]
    UNION
    SELECT x FROM [354].[twitter_rv.6200000]
) AS ambiguous
WHERE x > 100",YES,alias-ambiguous
SELECT  top 5 * count(*) FROM  [1123].[TJGR_geNOmic_gene.txt] -- FROM  [1314howe].[corrected_TJGR_geNOmic_gene.txt] WHERE  gID LIKE '%\_%' AND  gID = 'CGI',SELECT  top 5 * count(*) FROM  [1123].[TJGR_geNOmic_gene.txt] -- FROM  [1314howe].[corrected_TJGR_geNOmic_gene.txt] WHERE  gID LIKE '%\_%' AND  gID = 'CGI',NO,NO Error
select * from [CRdb_requestors.csv] cr left join [CTTdb_Requestors.csv] ct on (ct.PI_name = cr.PI_name) order by ExternalRequestorID desc,select * from [CRdb_requestors.csv] cr left join [CTTdb_Requestors.csv] ct on (ct.PI_name = cr.PI_name) order by ExternalRequestorID desc,NO,NO Error
"SELECT  SUM(cnt) FROM ( SELECT  x, COUNT(DISTINCT y) AS cnt FROM ( SELECT a.follower AS x ,  b.followee AS y FROM  [354].[twitter_rv.6157841] a JOIN  [354].[twitter_rv.6157841] b ON a.followee = b.follower ) joined WHERE  x < 1000 GROUP BY  x ) summed","SELECT SUM(cnt) FROM (
    SELECT x, COUNT(DISTINCT y) AS cnt
    FROM (
        SELECT a.follower AS x, b.followee AS y
        FROM [354].[twitter_rv.6157841] a
        JOIN [354].[twitter_rv.6157841] b ON a.followee = b.follower
    ) joined
    WHERE x < 1000
    GROUP BY x
) summed
WHERE cnt > 10",YES,alias-ambiguous
SELECT  * FROM [1123].[qDOD Cgigas Gene Descriptions (Swiss-prot)] Where description = 'Vitello_',"SELECT *
FROM [1123].[qDOD Cgigas Gene Descriptions (Swiss-prot)] AS main
LEFT JOIN [1123].[OtherTable] AS other
ON main.ID = other.ID
WHERE description = 'Vitello_'",YES,alias-ambiguous
WAITFOR  DELAY '00:00:55' SELECT  * FROM  [1318].[table_United States Wind Energy Potential.csv],WAITFOR  DELAY '00:00:55' SELECT  * FROM  [1318].[table_United States Wind Energy Potential.csv],NO,NO Error
SELECT  * FROM  [1314howe].[upload_failing.csv],"SELECT 
    AVG([ColumnName]), 
    *  
FROM 
    [1314howe].[upload_failing.csv];",YES,aggr-attribute
"SELECT  COUNT(t1.species) FROM  [354].[OR 3col_pos] t1 ,  [354].[OR 3col_pos] t2 WHERE  sqrt(power(t1.latitude-t2.latitude, 2)+power(t1.longitude-t2.longitude, 2)) < 0.000001 AND  t1.latitude is NOt null AND  t2.latitude is NOt null","SELECT COUNT(species) FROM [354].[OR 3col_pos] t1, [354].[OR 3col_pos] t2
WHERE sqrt(power(t1.latitude - t2.latitude, 2) + power(t1.longitude - t2.longitude, 2)) < 0.000001
AND t1.latitude is NOt null
AND t2.latitude is NOt null",YES,alias-ambiguous
"select 1385,  count(*) from 1385_queries where 1=1 and (sql_code  like '%table_%' and sql_code NOt like '%AND %' and sql_code NOt like '%JOIN %') and is_public = 1","SELECT 1385, COUNT(*)
FROM 1385_queries
WHERE 1=1
  AND (sql_code LIKE '%table_%' 
       AND sql_code NOT LIKE '%AND %' 
       AND sql_code NOT LIKE '%JOIN %'
       AND is_public = (SELECT is_public FROM 1385_queries WHERE created_at > '2023-01-01')) ",YES,type-mismatch-nested
select count(*) from [CTTdb_Requestors.csv] ct left outer join [CRdb_requestors.csv] cr on (ct.PI_name = cr.PI_name),"SELECT count(*)
FROM [CTTdb_Requestors.csv] AS ct
LEFT OUTER JOIN [CRdb_requestors.csv] AS cr 
ON (ct.PI_name = cr.PI_name)
WHERE PI_name IS NOT NULL",YES,alias-ambiguous
SELECT  COUNT(*) FROM  [1016].[freeway_loopdata],SELECT  COUNT(*) FROM  [1016].[freeway_loopdata],NO,NO Error
SELECT  ALogP FROM  [1267].[table_h2_fragment_qsar.csv] ORDER BY  ALogP,SELECT  ALogP FROM  [1267].[table_h2_fragment_qsar.csv] ORDER BY  ALogP,NO,NO Error
SELECT  * FROM  [412].[all sequenced proteins all treatments.txt] LEFT JOIN  [103B_230_01.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[103B_230_01.txt].proteinCG230_01 LEFT JOIN  [103B_230_02.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[103B_230_02.txt].proteinCG230_02 LEFT JOIN  [103B_230_03.txt] ON [all sequenced proteins all treatments.txt].[All Proteins]=[103B_230_03.txt].proteinCG230_03,"SELECT  
    AVG([412].[103B_230_01.txt].proteinCG230_01),  -- Introducing AVG function incorrectly
    *  -- Including all columns without a GROUP BY clause
FROM  
    [412].[all sequenced proteins all treatments.txt] 
LEFT JOIN  
    [412].[103B_230_01.txt] 
    ON [412].[all sequenced proteins all treatments.txt].[All Proteins] = [412].[103B_230_01.txt].proteinCG230_01 
LEFT JOIN  
    [412].[103B_230_02.txt] 
    ON [412].[all sequenced proteins all treatments.txt].[All Proteins] = [412].[103B_230_02.txt].proteinCG230_02 
LEFT JOIN  
    [412].[103B_230_03.txt] 
    ON [412].[all sequenced proteins all treatments.txt].[All Proteins] = [412].[103B_230_03.txt].proteinCG230_03;",YES,aggr-attribute
SELECT  * FROM  [446].[table_P8-A.top1000.sorted.nr.tab] WHERE  [hit.description] LIKE '%urea%',"SELECT *
FROM [446].[table_P8-A.top1000.sorted.nr.tab] AS p8
LEFT JOIN [446].[table_related] AS rel
ON p8.id = rel.id
WHERE [hit.description] LIKE '%urea%'",YES,alias-ambiguous
SELECT  * FROM  [446].[LineP_CAMERA_anNOtation_full] protein WHERE  (protein.FUNCTION_1 LIKE '%Iron%' OR  protein.FUNCTION_1 LIKE '%ferr%' OR  protein.FUNCTION_1 LIKE '%Fe[^a-z]%' OR  protein.FUNCTION_2 LIKE '%iron%' OR  protein.FUNCTION_2 LIKE '%ferr%' OR  protein.FUNCTION_3 LIKE '%iron%' OR  protein.FUNCTION_3 LIKE '%ferr%'),"SELECT * 
FROM [446].[LineP_CAMERA_anNOtation_full] protein 
WHERE (protein.FUNCTION_1 LIKE 5 OR  -- Using a numeric where a string pattern is expected
       protein.FUNCTION_1 LIKE '%ferr%' OR
       protein.FUNCTION_1 LIKE '%Fe[^a-z]%' OR
       protein.FUNCTION_2 + 10 LIKE '%iron%' OR -- Adding numeric to string before LIKE comparison
       protein.FUNCTION_2 LIKE '%ferr%' OR
       protein.FUNCTION_3 / 2 LIKE '%iron%' OR -- Dividing string column by numeric
       protein.FUNCTION_3 LIKE '%ferr%');",YES,type-mismatch-condition
"SELECT  [protein] AS [protein 70FL.3], [protein probability] AS [probability 70FL.3], [tot indep spectra] AS [tot spectra 70FL.3] FROM  [412].[table_interact-2015_May_26_Geoduck_65.prot.xls]","SELECT  [protein] AS [protein 70FL.3], [protein probability] AS [probability 70FL.3], [tot indep spectra] AS [tot spectra 70FL.3] FROM  [412].[table_interact-2015_May_26_Geoduck_65.prot.xls]",NO,NO Error
SELECT  * FROM  [1267].[cph2_w_1.csv] ORDER BY  (Cast(GLU as float) / Cast(res_num as float)) DESC,SELECT  * FROM  [1267].[cph2_w_1.csv] ORDER BY  (Cast(GLU as float) / Cast(res_num as float)) DESC,NO,NO Error
SELECT  * FROM  [1123].[BiGill_RNAseq_exon],SELECT  * FROM  [1123].[BiGill_RNAseq_exon],NO,NO Error
select * from g111,select * from g111,NO,NO Error
"SELECT  maxflood.timestamp as max_flood_time ,  slackebb.timestamp as slack_ebb_time ,  maxebb.timestamp as max_ebb_time ,  slackflood.timestamp as slack_flood_time FROM  [1314howe].[Pile Point tide events labeled by tidal cycle] maxflood ,  [1314howe].[Pile Point tide events labeled by tidal cycle] slackebb ,  [1314howe].[Pile Point tide events labeled by tidal cycle] maxebb ,  [1314howe].[Pile Point tide events labeled by tidal cycle] slackflood WHERE  maxflood.current_intensity = 'Max Flood' AND  slackebb.current_intensity = '""Slack,  Ebb Begins""' AND  maxebb.current_intensity = 'Max Ebb' AND  slackflood.current_intensity = '""Slack,  Flood Begins""' AND  maxflood.tidal_cycle = slackebb.tidal_cycle AND  maxflood.tidal_cycle = maxebb.tidal_cycle AND  maxflood.tidal_cycle = slackflood.tidal_cycle","SELECT 
    maxflood.timestamp as max_flood_time,
    slackebb.timestamp as slack_ebb_time,
    maxebb.timestamp as max_ebb_time,
    slackflood.timestamp as slack_flood_time
FROM 
    [1314howe].[Pile Point tide events labeled by tidal cycle] maxflood,
    [1314howe].[Pile Point tide events labeled by tidal cycle] slackebb,
    [1314howe].[Pile Point tide events labeled by tidal cycle] maxebb,
    [1314howe].[Pile Point tide events labeled by tidal cycle] slackflood
WHERE
    maxflood.current_intensity = 'Max Flood' AND
    slackebb.current_intensity = '""Slack, Ebb Begins""' AND
    maxebb.current_intensity = 'Max Ebb' AND
    slackflood.current_intensity = '""Slack, Flood Begins""' AND
    tidal_cycle = slackebb.tidal_cycle AND  -- Ambiguous reference
    tidal_cycle = maxebb.tidal_cycle AND    -- Ambiguous reference
    tidal_cycle = slackflood.tidal_cycle    -- Ambiguous reference",YES,alias-ambiguous
SELECT  * FROM  [1117].[OrcaMaster2010.csv] WHERE  Lat BETWEEN 48.2727 AND  48.2870,"SELECT * 
FROM [1117].[OrcaMaster2010.csv]
WHERE Lat BETWEEN 'NOrth' AND 'south'; ",YES,type-mismatch-condition
"SELECT  [Date] ,  [Total Fat],  ( SELECT  avg([Total Fat]) FROM  [1314howe].[total_fat_6_month_projection] past WHERE  past.[Date] < NOw.[Date] ) as running_average_fat_grams FROM  [1314howe].[total_fat_6_month_projection] NOw where [Date] > '1/25/2012'","SELECT  
    [Date],  
    SUM([Total Fat]),  -- Incorrect use of SUM without GROUP BY
    (
        SELECT AVG([Total Fat]) 
        FROM [1314howe].[total_fat_6_month_projection] past 
        WHERE past.[Date] < NOw.[Date]
    ) AS running_average_fat_grams 
FROM 
    [1314howe].[total_fat_6_month_projection] NOw 
WHERE 
    [Date] > '1/25/2012';",YES,aggr-attribute
"select a.fullname,  count(*) as totalPUBS from [1143].author a,  [1143].authored b,  [1143].inproceedings p where a.fullname = b.fullname and b.pubID = p.id and p.booktitle = 'PODS' and NOt exists (select * from [1143].authored b2,  [1143].inproceedings p2 where a.fullname=b2.fullname and b2.pubID = p2.id and p2.booktitle in ('SIGMOD Conference',  'VLDB')) group by a.fullname order by count(*) desc","select a.fullname,  count(*) as totalPUBS from [1143].author a,  [1143].authored b,  [1143].inproceedings p where a.fullname = b.fullname and b.pubID = p.id and p.booktitle = 'PODS' and NOt exists (select * from [1143].authored b2,  [1143].inproceedings p2 where a.fullname=b2.fullname and b2.pubID = p2.id and p2.booktitle in ('SIGMOD Conference',  'VLDB')) group by a.fullname order by count(*) desc",NO,NO Error
"SELECT 
    s.time, 
    t.timestamp 
FROM 
    [1002].[sds.tab] s
JOIN 
    [1002].[Tokyo_1_merged_data_time.csv] t ON s.time = t.time  -- Assumed common join condition
ORDER BY 
    s.time;","SELECT 
    AVG(s.time),  -- Incorrect use of AVG on likely NOn-numeric column
    t.timestamp 
FROM 
    [1002].[sds.tab] s, 
    [1002].[Tokyo_1_merged_data_time.csv] t 
ORDER BY 
    s.time;",YES,aggr-attribute
SELECT  1385name FROM  [718].[table_1385s_1.csv] WHERE  major = 'history',"SELECT 1385name 
FROM [718].[table_1385s_1.csv] AS t1
JOIN [718].[table_1385s_2.csv] AS t2 ON t1.id = t2.id
WHERE major = 'history'",YES,alias-ambiguous
"SELECT max(salary),  min(salary),  avg(salary),  count(*) FROM  ( SELECT  Name,  [Job Title] as job_title, [2010 Gross Earnings] as salary FROM  [1314howe].[uw_salaries_2011.txt] ) x WHERE  job_title like '%RESEAR%SENIOR %' AND  job_title NOt like '%APL%' AND  salary > 112800 --ORDER BY  salary desc","SELECT MAX(salary), MIN(salary), AVG(salary), COUNT(*)
FROM (
  SELECT Name, [Job Title] as job_title, [2010 Gross Earnings] as salary
  FROM [1314howe].[uw_salaries_2011.txt]
) x
WHERE job_title LIKE '%RESEAR%SENIOR %'
  AND job_title NOT LIKE '%APL%'
  AND salary > (SELECT salary FROM [1314howe].[uw_salaries_2011.txt] WHERE job_title LIKE '%MANAGER%')",YES,type-mismatch-nested
"SELECT  [score] FROM  [823].[CGbigill5x_asgff] WHERE  CAST([score] AS NUMERIC) < 0.25 WHERE  isnumeric(score) = 1 AND  CAST(score AS NUMERIC) < 0.25 WHERE  ISNUMERIC(score)=1 AND  CONVERT(NUMERIC, score) < 0.25 WHERE  isnumeric(score) <> 1 AND  score < 0.25 ORDER BY  score DESC","SELECT [score]
FROM [823].[CGbigill5x_asgff]
WHERE ISNUMERIC(score) = 1 AND CAST(score AS VARCHAR) < '0.25' -- Type mismatch by comparing numeric as string
ORDER BY score DESC;",YES,type-mismatch-condition
SELECT  * FROM  [1199].[LoanStats3b_securev1.csv] where addr_state = 'WA',"SELECT 
    AVG(balance),  -- Assuming there's a column named 'balance'
    * 
FROM 
    [1199].[LoanStats3b_securev1.csv] 
WHERE 
    addr_state = 'WA';",YES,aggr-attribute
"SELECT [protein] AS [protein10], [protein probability] AS [protein probability10], [percent coverage] AS [percent coverage10], [tot indep spectra] AS [tot indep spectra10], [peptides] AS [peptides10] FROM  [412].[table_Prophet_2014_Sept_08_BeringSea10.prot.xls] WHERE  [tot indep spectra]>1","SELECT [protein] AS [protein10], 
       [protein probability] AS [protein probability10], 
       [percent coverage] AS [percent coverage10], 
       [tot indep spectra] AS [tot indep spectra10], 
       [peptides] AS [peptides10] 
FROM [412].[table_Prophet_2014_Sept_08_BeringSea10.prot.xls] 
WHERE [tot indep spectra] > 1
HAVING COUNT([protein]) > 5;",YES,aggr-having
"SELECT  CAST(SUBSTRING(V2,  1,  23) as datetime) as [time],  V2,  V7 as attenuation FROM  [1059].[cstar.csv]","SELECT CAST(SUBSTRING(V2, 1, 23) AS datetime) AS [time], 
       V2, 
       V7 AS attenuation 
FROM [1059].[cstar.csv]
HAVING COUNT(V2) > 1;  ",YES,aggr-having
"SELECT  Column2 FROM  [1123].[BSoysterGENE] Where ""Sum mRNA"" > 50 and ""Percent mCpG (CDS)"" > 80 and ""Percent mCpG (Intron)"" < 20","SELECT Column2 
FROM [1123].[BSoysterGENE] 
WHERE ""Sum mRNA"" > 50 
  AND ""Percent mCpG (CDS)"" > 80 
  AND ""Percent mCpG (Intron)"" < 20
HAVING COUNT(Column2) > 1; ",YES,aggr-having
